,text,audio_file
73,ਔਲਰਡ ਪਜਬ ਘਮਦਗ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
61,ਨ ਕਈ ਫਕਸ ਕਰ ਸਕਦ ਭਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
55,ਹਜ ਹਜ ਭਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
40,ਹਲ ਸਰ ਮ ਸਜਨ ਬਲ ਰਹ ਆ  ਮ ਥਆਨ ਕਬ ਬਕ ਕਰਨ ਲਈ ਕਲ ਕਤ ਸ ਅਸ ਸਰ ਮਰ ਫਮਲ ਨਣ ਦਵ ਜਉਗ ਇਸ ਲਈ ਮ ਥਆਨ ਕਲ ਕਤ ਸ ਕਆ ਤਸ ਸਡ ਲਈ ਕਬ ਬਕ ਕਰ ਸਕਦ ਓ ਜ ਤਸ ਫਰ ਓ ਤ ਸਨ ਦਸ ਦ ਸਨ ਕਲਹ ਮਤ ਉਨ ਤਰਕ ਨ ਨਣ ਦਵ ਜਣ ਏ ਤਸ ਸਵਰ ਸਨ ਸਵਰ ਦ ਸਤ ਵਜ ਸਨ ਘਰ ਤ ਪਕਅਪ ਕਰ ਲਓ ਤ ਸਨ ਪਹਲ ਦਪਹਰ ਬਰਹ ਕ ਵਜ ਸਨ ਕਈ ਵਧਆ ਜਹ ਰਸਟਰਟ ਲ ਜਇਓ ਤ ਕ ਅਸ ਲਚ ਕਰ ਸਕਏ ਫਰ ਉਸ ਤ ਬਅਦ ਸਨ ਸਡ ਨਣ ਦਵ ਸਨ ਚਗ ਤਰਹ ਮਥ ਟਕ ਦਓ ਤ ਕਈ ਵਧਆ ਜਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580827068.wav
9,ਕ ਤਸ ਐਪਲਕਸਨ ਆਈ ਡ ਐਮ ਐਸ ਦ ਜਰ ਦ ਦ ਪਜ ਚਰ ਦ ਪਜ ਨ ਪਜ ਪਜ ਨ ਇਕ ਸਤ ਪਜ ਤਨ ਅਤ ਜਨਮ ਮਤ ਤਰਹ ਤਨ ਦ ਹਰ ਬਈ ਦ ਨਲ ਉਪਭਗਤ ਦ ਏਨ ਐਸ ਪ ਤ ਜਮਹ ਕਤਆ ਸਰਆ ਫਰਸ਼ ਸਕਲਰਸਪ ਅਰਜਆ ਨ ਸਚਬਧ ਕਰ ਸਕਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580808843.wav
64,ਭਜ ਫਰ ਸਰ ਪਜਬ ਘਮਊਗ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
5,ਯਜ ਵ ਕਰ ਸਕਦ ਹਨ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580803154.wav
47,ਦਸ ਕਲ ਹਵ ਬਨ ਰਕਰਡਡ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
34,ਸਖਆ ਹਰ ਇਨਸਨ ਦ ਮਢਲ ਹਕ ਹ ਅਸ ਬਹਤ ਹ ਕਸਮਤ ਵਲ ਹ ਕ ਸਨ ਸਖਆ ਦ ਚਗ ਮਕ ਪਰਪਤ ਹਏ ਹਨ ਮਰ ਮਤ ਪਤ ਜ ਪਹ ਲਖ ਹਨ ਮਰ ਮਤ ਜ ਐਮ ਐਸ ਸ ਨਰਸਗ ਹਨ ਅਤ ਮਰ ਪਤ ਜ ਬ ਐਸ ਸ ਐਲ ਐਲ ਬ ਹਨ ਮਰ ਮਤ ਜ ਇਕ ਪਰਸਪਲ ਹਨ ਅਤ ਮਰ ਪਤ ਜ ਇਕ ਵਕਲ ਹਨ ਮਰ ਦਦ ਦਦ ਜ ਦਸਵ ਤਕ ਪਹ ਸਨ ਉਹਨ ਦ ਵਲ ਸਖਆ ਦ ਜਆਦ ਮਕ ਨਹ ਸਨ ਕਉਕ ਉਸ ਸਮ ਨ ਤ ਐਨ ਸਕਲ ਅਤ ਕਲਜ ਸਨ ਅਤ ਨ ਹ ਲਕ ਵਚ ਐਨ ਜਗਰਕਤ ਸ ਕ ਸਖਆ ਦ ਕ ਲਭ ਹਨ ਅਤ ਸਖਆ ਜਦਗ ਵਚ ਕਉ ਜਰਰ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580826204.wav
62,ਕਨ ਭਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
